,epochs,train_loss,test_loss,z_loss,a_loss,n_loss,z_testloss,a_testloss,n_testloss
19,19,0.06998559645122024,0.06694031204096973,0.030635874765883586,0.006841488074285874,0.03250823379939149,0.029081898392178118,0.006056413723854348,0.031801999313756824
20,20,0.06945086695301304,0.06635384727269411,0.030462175287353763,0.006777623883347697,0.03221106778379459,0.028907077736221254,0.005974606436211616,0.03147216292563826
21,21,0.06872257315049506,0.06577834417112172,0.030506050000619737,0.006590081694696075,0.031626441545642106,0.02873289934359491,0.005908635503146797,0.031136809149757028
22,22,0.0681280960939872,0.06528954254463315,0.02998291081778563,0.006614810555793677,0.031530374803455774,0.028603848186321557,0.00583258387632668,0.030853109783492982
23,23,0.0676494674745259,0.0648188041523099,0.029943994252355235,0.006481484664236284,0.03122398836217868,0.028445496456697583,0.005772901291493326,0.03060040611308068
24,24,0.06710338369486438,0.06418993975967169,0.029797558405786562,0.006479829822661011,0.03082599559692061,0.028229880961589515,0.005718924920074642,0.030241133994422853
25,25,0.06647766414721301,0.06370936497114599,0.029611081739140163,0.006382600528893957,0.030483982057138613,0.028052092879079282,0.005661058487021364,0.02999621327035129
26,26,0.06610467647955676,0.06325774593278766,0.02923831890580381,0.00634039197247594,0.030525965533059113,0.027819039998576045,0.005599134732619859,0.029839571681804955
27,27,0.06545333372084958,0.06283554621040821,0.028976362768062362,0.0062632676967342565,0.030213703312406873,0.027625570772215724,0.0055691180168651044,0.029640857013873756
28,28,0.0649644704239004,0.06217054883018136,0.028900803535417387,0.006234927547822712,0.029828739133040617,0.027383680222555995,0.005497085279785097,0.029289783211424947
29,29,0.0642429503143593,0.06172145763412118,0.028615901163619034,0.006134589334688844,0.029492459859058354,0.027190262102521956,0.005451083125080913,0.029080112813971937
30,30,0.06394204487846156,0.06136094662360847,0.02826521651238013,0.006049492862075567,0.0296273354773119,0.027013170067220926,0.005388633318943903,0.028959142393432558
31,31,0.0633739764048795,0.0607732345815748,0.02812097947688619,0.005978472139330427,0.029274524456471395,0.02671816013753414,0.005341916767065413,0.028713157633319497
32,32,0.06288046185757704,0.060261831153184175,0.02783106569983777,0.005923965265143924,0.029125431149153953,0.02646483771968633,0.005273578339256346,0.028523415443487465
33,33,0.06255610510232343,0.0598073482979089,0.027619854517423423,0.005854735658118489,0.02908151488822357,0.02624715631827712,0.005217892990913242,0.028342299163341522
34,34,0.06187869530099972,0.05917660263366997,0.02732056983194913,0.005846225924991593,0.028711899664181813,0.02593714010436088,0.0051501149573596194,0.02808934764470905
35,35,0.061592981598939105,0.058672463754191995,0.027150814225719234,0.005733264008074239,0.028708903403703575,0.02569102984853089,0.005081781928311102,0.027899652370251715
36,36,0.06073167682832973,0.05811983649618924,0.02684554589354688,0.005646418719285518,0.028239712249606277,0.025423360406421125,0.005003786936867982,0.027692688978277147
37,37,0.060026906501905175,0.057593365432694554,0.02644152697294381,0.005457907680801715,0.028127471791805737,0.02517854270990938,0.004915658224490471,0.02749916515313089
38,38,0.05966955356916804,0.05689097451977432,0.026126753052423714,0.0054564501505914575,0.028086350198574125,0.0248251436278224,0.004802902854862623,0.027262928313575685
39,39,0.05914998709396192,0.056352104526013136,0.025985666271892322,0.005322857332789594,0.027841463305388288,0.024556819698773324,0.004730270593427122,0.027065014583058655
40,40,0.05830677949888691,0.05568874743767083,0.02561789838846322,0.005275531158824066,0.02741334988338173,0.024174129939638078,0.00468534036190249,0.02682927728164941
41,41,0.05770392870162703,0.054997432278469205,0.025181974480106572,0.005196409297003678,0.02732554486223087,0.023813143256120384,0.004615518904756755,0.026568770059384406
42,42,0.05723766481895356,0.05444186646491289,0.02496803649196959,0.005123545429046462,0.02714608275112073,0.02350682020187378,0.004550335725070909,0.026384710683487356
43,43,0.05679648471580949,0.05393450614064932,0.02478739104358254,0.005095781205269467,0.02691331270868611,0.023197861621156335,0.004502624316955917,0.026234019896946847
44,44,0.05570179228759875,0.05322230514138937,0.024145252551812275,0.004985197258899641,0.026571342484301822,0.022801627637818456,0.004438084535649978,0.025982592720538378
45,45,0.05529583307208529,0.05259812157601118,0.02383612187662322,0.0049800469634971424,0.026479664074767168,0.022468978306278586,0.00437943305587396,0.025749710155650973
46,46,0.05437927534151229,0.051848484901711345,0.023382483821385986,0.004925661432633924,0.02607112998961453,0.022027859231457114,0.004322405366110615,0.02549822023138404
47,47,0.05428216338252566,0.05130584863945842,0.02341078619834534,0.004822069156179383,0.02604930812291279,0.02173515420872718,0.004264948525815271,0.02530574589036405
48,48,0.05326275237996107,0.050664081471040845,0.022866440930991036,0.0047773366577472465,0.025618974938039565,0.02139827865175903,0.004204808748909272,0.025060994317755103
49,49,0.05244298262675856,0.0498823958914727,0.022196545698650323,0.004800810778193223,0.025445626407956622,0.0209730074275285,0.00413464498706162,0.024774743942543864
50,50,0.05169475607716354,0.0492003436665982,0.021821898876861402,0.004628100597068288,0.02524475653649895,0.020603703218512237,0.004075353062944487,0.024521287297829986
51,51,0.05104103304777935,0.04845173191279173,0.021596944024845674,0.004587886445698844,0.02485620275519456,0.020213502342812717,0.004015503698610701,0.02422272600233555
52,52,0.0501896074860339,0.047923256643116474,0.02106337917814399,0.004549673535997511,0.024576554679946534,0.020011332468129694,0.003957615204853937,0.023954308941029012
53,53,0.0500100532155128,0.04723103437572718,0.021126809577416084,0.004488044824735944,0.02439519879259881,0.019628963666036725,0.0038984098937362432,0.023703660699538887
54,54,0.04896726682307614,0.04636250133626163,0.02055999956977595,0.004406765822594048,0.024000501622012844,0.0191939203068614,0.003840387798845768,0.023328192764893174
55,55,0.04845362958634735,0.04587028035894036,0.020296418772429037,0.00440917389206351,0.023748037043460617,0.019020195701159537,0.0037896521826041862,0.023060432518832386
