,epochs,train_loss,test_loss,z_loss,z_testloss,a_loss,a_testloss,n_loss,n_testloss
27,27,0.05909395240509091,0.056486188162919844,0.026259020524331555,0.025265731153231632,0.007248251963728152,0.0065882905280288265,0.025586679875374604,0.024632166222303728
28,28,0.05790370849136727,0.05584639805970313,0.025750762711579618,0.025020765211386017,0.0070580942690158235,0.006514442783980807,0.02509485157474447,0.024311189834452882
29,29,0.05689534898430776,0.05465126362971113,0.025384828719063498,0.0245559396858834,0.0068349267635792015,0.006225681619105648,0.024675593559686747,0.023869642657758313
30,30,0.05593907435576375,0.05367038342394406,0.024891179102583053,0.024067525905144365,0.006620646376287737,0.006104980896026651,0.024427248801762304,0.02349787665224528
31,31,0.055100812817724366,0.05259849348022968,0.024502474996157157,0.023416743837768518,0.006570782681284383,0.006010706218171723,0.024027555145489904,0.02317104342428944
32,32,0.053935235050825266,0.051688364530100096,0.023857281546289928,0.02304204277505603,0.006442968618309203,0.005827465295037137,0.0236349847411719,0.022818856648629225
33,33,0.05286704652463666,0.05072269824486744,0.023299377230100168,0.02248437743916919,0.006267528966836893,0.005748371826484799,0.023300140274884983,0.022489948952688448
34,34,0.0519722399239342,0.05006301992490322,0.022893932406989913,0.02219314055069338,0.006163807683282148,0.005707684453411759,0.022914499758531492,0.02216219485890639
35,35,0.05111162594189278,0.049312334248348126,0.022559732897951008,0.021922757295019264,0.0059959837428916,0.005560018502388008,0.02255590930997659,0.021829558489254757
36,36,0.050366756122428386,0.04812692907414859,0.022112138218249377,0.02121376728379651,0.005906863054766441,0.005398712285994729,0.02234775479287861,0.02151444937467952
37,37,0.04916648150156862,0.04752917842397207,0.021451859499890202,0.020894316838511937,0.005787750390676645,0.005370258126714373,0.02192687166456026,0.021264603125709523
38,38,0.048660002148951206,0.0466566854687054,0.02131384745621072,0.020511970631306685,0.005694410267521065,0.005158665737349398,0.021651744286116128,0.020986048787643638
39,39,0.04804507500161759,0.04621367760096924,0.0208495091825438,0.020338633793252934,0.0055621067343202355,0.005109049102786599,0.021633458987306863,0.020765994463257397
40,40,0.04700905734452958,0.045338036869711516,0.020307169733241724,0.019773680881797512,0.005435114656500637,0.005018334617673219,0.021266772989005134,0.02054602131719076
41,41,0.0460607283733809,0.04463143479314786,0.019829774516435285,0.01939289069062547,0.005305696802493483,0.004905364202052544,0.020925257125863444,0.02033317992110041
42,42,0.04560480619105287,0.043665828442649,0.019604659207855552,0.018709138059352017,0.005182739906608106,0.004826516915065578,0.02081740708254016,0.02013017363327591
43,43,0.04493614881278608,0.04330080066206334,0.01921108252586077,0.01866802511901795,0.005118869844609842,0.0046328480614797225,0.020606196446778677,0.01999992738136008
44,44,0.044092058659361576,0.04279955733520321,0.01877877469094226,0.01843115858309254,0.004954622574552251,0.004589145116012873,0.020358661406884748,0.019779253786406183
45,45,0.04356744003514893,0.04194173822768881,0.018501504949225596,0.017805655534037308,0.004881014836916385,0.00449939846072959,0.02018492024975082,0.019636684309549724
46,46,0.04296915943677814,0.04107259199777736,0.018119435715742004,0.0172107912647196,0.004816609164759422,0.004377217813029508,0.02003311459570171,0.01948458291118658
47,47,0.042316035227701304,0.040748420937717716,0.017702845954737916,0.017124357008481327,0.004773925170123863,0.004272288869759893,0.01983926411027821,0.01935177502705704
48,48,0.041772414707004456,0.04032705210243599,0.01735715484752442,0.016866130966551696,0.004626480667604902,0.004242100923829064,0.01978877909219684,0.019218820241527466
49,49,0.04121349318720662,0.03945991972201987,0.017083446298853847,0.01632251533903653,0.0045278851432315175,0.0040827176940356254,0.019602161707183995,0.019054686815678318
50,50,0.04048958630226671,0.03959393135826044,0.01666813831740675,0.0165429592391924,0.004403702012403085,0.004109957441098139,0.019417745885424338,0.01894101485185608
51,51,0.04011721620425439,0.038725697046405154,0.016516403357584638,0.015869541966085192,0.004309893838656596,0.003937296445564001,0.019290919002062215,0.018918858770328232
52,52,0.03925174337249404,0.03807178656040113,0.016027710248772708,0.015548821067131019,0.004210029868557811,0.00383824875719751,0.01901400315697296,0.01868471698953381
53,53,0.03880727760636578,0.0376012674945442,0.01577985784806573,0.015331264373056496,0.004142345740837744,0.003769594330128424,0.018885073972086365,0.01850040849958417
54,54,0.03828395247316589,0.03715030118068562,0.015421180625835928,0.015048065847611125,0.004059436365057486,0.0037121224906767093,0.018803335506076248,0.018390113051650645
55,55,0.0377397432078283,0.036610990220421476,0.015131563867647618,0.014737018537295015,0.003961121003640393,0.003645287346259891,0.018647058245044548,0.018228684210135966
56,56,0.03738598877819963,0.03627536785376223,0.014885500150795181,0.014529145098751105,0.003946985489281174,0.003616475479535853,0.01855350315523224,0.018129747431678108
57,57,0.03682671249293672,0.0356428337672466,0.014608176794057837,0.014116599283452276,0.003848219859434631,0.0035002386621847937,0.018370315753899445,0.018025995680142806
58,58,0.03629732349167426,0.034934378075826014,0.014258517110095428,0.013728968516180787,0.0037750452135752043,0.0034190532368242365,0.018263761129694436,0.01778635619609039
